手机	客户	易通卡	话费	资费	固原	多次	余额	赔偿	侵犯	套餐	权益	漫游	开通	恢复	欠费	信息	咨询	登记	实名制	通话	宽带	收费	霸道	卡寄回
1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	1	0	12	0	0	1	8	0	0	1	0	0	1	0	2	5	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	1	1	0	3	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	1
4	1	1	0	5	2	1	0	4	1	0	1	1	1	2	1	0	2	0	0	0	0	1	0	0
0	0	0	0	0	5	0	1	3	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	2
0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1	2	1	0	3	0	0	0	0	1	1	0	1	1	1	1	0	2	0	0	0	0	1	1	0
0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1	2	1	0	3	0	0	0	0	1	1	0	1	1	1	1	0	2	0	0	0	0	1	1	0
1	2	1	0	3	0	0	0	0	1	1	0	1	1	1	1	0	2	0	0	0	0	1	1	0
0	2	2	0	1	0	0	0	0	0	0	0	1	1	1	0	0	2	0	0	0	0	1	1	0
0	0	0	0	0	3	2	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
0	0	1	0	0	0	1	3	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1
2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	3
0	0	1	1	0	0	0	1	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0
0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0
7	1	2	3	1	3	2	3	3	5	0	7	2	0	0	1	0	0	0	0	4	0	0	0	0
7	8	5	4	1	0	3	3	3	5	0	8	3	0	0	1	1	0	2	4	5	0	0	1	0
1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
0	0	2	0	0	2	0	1	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1
1	2	1	0	6	0	0	0	0	1	1	0	3	1	2	1	1	2	0	0	0	0	1	2	0
2	0	3	2	1	0	1	0	1	1	0	0	1	3	0	1	0	0	0	0	1	0	1	0	0
0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
6	9	4	4	0	3	2	3	6	3	0	1	0	2	1	1	0	0	0	6	2	0	0	3	1
0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
2	0	0	0	3	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	4	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	5	0	0	2	0	0	0
0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0
0	2	0	0	1	0	0	0	2	0	7	0	0	0	0	0	0	0	0	0	0	2	0	0	0
0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	2	0	0	0	0	3	0	0	0
1	0	0	0	2	0	0	0	0	0	3	0	0	0	1	3	0	0	0	0	0	5	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0
1	0	0	0	0	0	0	1	0	0	1	0	0	2	1	1	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	2	0	0	0	6	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	1	0	1	0	0	0	7	0	0	1	0	0	0	0	0	0	0	3	0	0	0
0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	6	0	0	0
5	0	0	0	0	0	1	0	0	0	5	0	0	1	0	0	0	2	0	0	1	2	0	0	0
0	0	0	0	0	0	0	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0
1	0	0	3	0	0	4	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
10	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0
0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	3	2	0	0
0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0

